title,company,city,salary,source,collected_at
Инженер внедрения / Системный инженер,Оператор связи Комфортел,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:59
Инженер технической поддержки в IT (в офис),STILT,"Тольятти, р-н Автозаводский",,zarplata.ru,2026-05-09 16:47:59
Преподаватель информатики/Тьютор/IT специалист/Программист,Kiberone (ИП Перцев Артем Сергеевич),Балашиха,,zarplata.ru,2026-05-09 16:48:00
Проектный менеджер,ООО БрейниСофт,Москва,,zarplata.ru,2026-05-09 16:48:00
Специалист по внедрению ПО,ООО Термика,Москва,,zarplata.ru,2026-05-09 16:48:00
Fullstack-разработчик,ФотоИтем,Подольск,,zarplata.ru,2026-05-09 16:48:00
Системный администратор департамента кибербезопасности,ЭЛЕКТРОЩИТ САМАРА,"Тольятти, р-н Центральный",,zarplata.ru,2026-05-09 16:48:00
Педагог в школу программирования для проведения детских летних интенсивов оффлайн,ИП Цветкова Оксана Владимировна,"Нижний Новгород, р-н Автозаводский",,zarplata.ru,2026-05-09 16:48:00
AI инженер ( Специалист по внедрению нейросетей ),ПИКАНТА,"Астрахань, р-н Ленинский",,zarplata.ru,2026-05-09 16:48:00
Аналитик данных (Data Analyst),ООО Хоум Эксперт,Москва,,zarplata.ru,2026-05-09 16:48:00
SRE engineer (UTC +7),ООО Ок Софт,Новосибирск,,zarplata.ru,2026-05-09 16:48:00
Специалист в управление риск-менеджмента,АО Банк Урал ФД,"Пермь, р-н Индустриальный",,zarplata.ru,2026-05-09 16:48:07
Senior Программист C,AERODISK,Москва,,zarplata.ru,2026-05-09 16:48:07
Преподаватель программирования для детей в онлайн-школу,Квантастика,Москва,,zarplata.ru,2026-05-09 16:48:08
Педагог программирования (для жителей г. Сочи),Школа программирования Coddy (ИП Лисицкая Оксана Юрьевна ),"Сочи, р-н Центральный",,zarplata.ru,2026-05-09 16:48:08
Стажер-аналитик 1С,ПитерСофт,"Санкт-Петербург, р-н Петроградский",,zarplata.ru,2026-05-09 16:48:08
Преподаватель программирования,ИП Брыкалов Павел Юрьевич,"Волгоград, р-н Дзержинский",,zarplata.ru,2026-05-09 16:48:08
Технический директор (CTO),TEKNOLAB,"Санкт-Петербург, р-н Приморский",,zarplata.ru,2026-05-09 16:48:08
Manual middle QA engineer,Ayo Support Solutions,Тбилиси,,zarplata.ru,2026-05-09 16:48:08
Разработчик n8n,Mekashron,Москва,,zarplata.ru,2026-05-09 16:48:08
Data engineer (оптимизация),ООО Тера Интегро,Москва,,zarplata.ru,2026-05-09 16:48:08
Senior DevOps Engineer,DiagnoCat,Москва,,zarplata.ru,2026-05-09 16:48:08
Ведущий AI-инженер,ООО CЛК,Москва,,zarplata.ru,2026-05-09 16:48:08
Аналитик данных (в департамент маркетинга),Prime Development,"Уфа, р-н Советский",,zarplata.ru,2026-05-09 16:48:09
Инженер-робототехник / администратор-программист сервисных роботов,ООО Говорова 35,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:09
BI Analyst,Opiniq Ltd,Москва,,zarplata.ru,2026-05-09 16:48:09
Инженер по нагрузочному тестированию,Клируэй Текнолоджис,Москва,,zarplata.ru,2026-05-09 16:48:09
Разработчик,АО МАСС ГРУПП,Москва,,zarplata.ru,2026-05-09 16:48:09
Аналитик данных,Платформа Больших Данных,Москва,,zarplata.ru,2026-05-09 16:48:09
BI-аналитик,ООО Акваарт,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:09
Application Security инженер (SAST/SCA),Swordfish Security,Москва,,zarplata.ru,2026-05-09 16:48:09
Риск-аналитик (валидация),АО Аналитическое кредитное рейтинговое агентство (АКРА),"Москва, р-н Пресненский",,zarplata.ru,2026-05-09 16:48:09
Руководитель группы разработки хранилища данных,Volna.tech,"Москва, р-н Тверской",,zarplata.ru,2026-05-09 16:48:09
ML Engineer (Medical Imaging),ООО ГравиЛинк,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:10
Инженер-программист С/С++ и Linux,ООО НПП Марс-Энерго,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:10
DevOps инженер (bare metal),RetailCRM,Липецк,,zarplata.ru,2026-05-09 16:48:10
Аналитик маркетплейсов,ООО Интершуз,Москва,,zarplata.ru,2026-05-09 16:48:10
Technical Product Lead (Robotics),ООО Авихимса,Москва,,zarplata.ru,2026-05-09 16:48:10
Team Lead / Lead C/C++ Developer,ООО Эль Пять,Москва,,zarplata.ru,2026-05-09 16:48:10
Системный аналитик NPO в команду разработки SON,ООО ТелеСистемы Сервис,"Санкт-Петербург, р-н Петроградский",,zarplata.ru,2026-05-09 16:48:10
Специалист технической поддержки БПЛА,Не указана,Москва,,zarplata.ru,2026-05-09 16:48:10
Директор по AI / Chief AI Officer,ООО Ок Софт,Москва,,zarplata.ru,2026-05-09 16:48:10
